,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
48,PPP1R17,EPDR1,OR51M1,PSMA1,GRIA4,LIPK,DGKI,RHOJ,RASAL2,CEACAM4,HLA-DRB5,TM4SF18,RPS16,SLC6A20,OR2AG1,PRR16,NYAP2,SHANK3,LYZ,SLC7A7,GIMAP6,,FABP7,RAB27B
49,ZFPM2,ADGRB3,ETV3L,TRIB2,KCNT2,LIPN,ESRRG,NINL,RASSF4,LILRA6,BTLA,C2orf83,RPL29,TGM5,TDRD15,PCDH7,CNTNAP4,RUNDC3B,CTSB,NAGA,FAM153A,,PKP3,FCRL6
50,LPAR1,P3H2,RHBDL1,SULT2B1,IGFBP5,WIF1,GEM,STON2,SH3PXD2B,CDA,TSPAN33,GNG11,RPS20,AFF3,GLCCI1,COL5A1,NKAIN3,RAB3C,FTL,LYPD8,ANXA2R,,CCDC8,TBX21
51,COL4A4,LAIR1,PDILT,GNG4,PKNOX2,GCM1,NOL4,RELN,KMO,LILRA2,SDC2,TSPAN7,BIK,KCNQ5,TXNDC11,PDE3A,SEMA3E,ACKR1,DLEU7,ADAP1,VIPR1,,NOTUM,CST7
52,DPYSL3,SEMA3C,LIN7A,SARDH,SMOC2,TMEM121B,EPHX2,FRMD6,FLVCR2,IGFL4,CCND1,NTF3,OOEP,NUCB2,ITGA6,PRICKLE1,IGSF3,SPNS2,RAB20,FZD2,C16orf54,,SAA4,MATK
53,NRG1,IFNLR1,BCAT1,ACER1,GFRA1,FRMD7,CDC42EP4,UNC5B,TRPM2,MS4A3,POU6F2,TAL1,ZNF90,PRKCQ,HERPUD1,LMCD1,JPH4,SMAD6,GRM5,,ATP6V0E2,,GGT6,CDHR1
54,ABCC3,SMPD3,MGLL,CCR5,PLEKHH2,MYBPH,OCA2,PCLO,GGT5,SERPINB10,P2RY6,IRX3,RPS5,PGM2L1,IRF4,GFPT2,FRMPD2,ID1,GFRA2,,GIMAP5,,CALML3,PRKCH
55,TMEM108,SLA2,DGKG,TTC22,GPR176,MCTP1,PKP2,AFAP1L1,FHAD1,NLRP4,GPAT3,EXOC3L1,RPS12,CCDC141,EAF2,ADAMTS12,CCNI2,SELP,SLC5A4,,GAL3ST4,,ADGRF4,TOX
56,NPAS2,FAM177B,CXCL10,TMEM244,KCNE4,ALDH1A2,TMEM132C,TSPAN18,TMEM144,PDE6H,RGCC,CCDC39.1,RPS13,IPCEF1,BTG2,FAM20C,CPNE7,CDH5,KCNJ10,,GOLGA7B,,NDST2,SLFN12L
57,SORCS2,MOGAT1,PPARG,TMPRSS3,ADRA2A,LRRK2,TSPAN11,EMID1,MMP14,OR2AT4,PIK3R6,HOXD10,RPL35A,SLAMF6,PRDM1,COL16A1,OLFM3,TM4SF1,CLEC10A,,AMIGO1,,PAK6,GPR174
58,CNN3,SYCP2L,POLQ,DBH,PCOLCE,DOCK5,FCER2,GJA1,OSCAR,CTRC,ARHGAP20,RAB17,UBA52,DGKA,TRAM2,COL11A1,VWC2,SPRY1,TIFAB,,CARNS1,,PHOX2A,NLRC3
59,TUSC3,ZNF385C,COL4A5,ANKRD62,FNDC1,RNF24,PCOLCE2,KLHL4,FCGR2B,OLFM4,NR4A3,IRX6,PTTG1,ATP10A,SLC15A2,PTGIS,SIGLECL1,MEOX1,SLC37A2,,SERINC5,,ZNF705A,SYTL2
60,THY1,AJAP1,KIF21A,SIAH3,NPY1R,TLR2,FRMPD1,SV2B,ACP5,WFIKKN1,C17orf99,GPR26,RPL27,FAM184A,ALDH1L2,RERG,AMH,RASIP1,CACNG5,,TMC8,,ABCA13,JAKMIP2
61,TNFSF14,SMIM5,MELK,MAEL,LMOD1,FTH1,CNTN1,PXDN,VNN1,EPHB1,NRXN2,PSD3,HRK,ZNF704,MEI1,TDO2,HR,TRPM6,TMEM26,,LDLRAP1,,LTF,GATA3
62,TTLL7,TTC24,RORB,ZNRF1,FMOD,DMXL2,LRRTM3,KCNIP1,SLC6A7,CREB5,ADGRB1,LIFR,C19orf53,TESPA1,SLC38A4,GLI2,MYH6,ROBO4,MMP13,,GIMAP2,,EYA1,F2R
63,HLF,ZNF556,BUB1B,PCBP3,FAM13C,IRAK2,TBX15,PDPN,LRRC74A,TMEM154,HLA-DQB2,TFPI,GCHFR,TENM1,PTP4A3,COL5A3,VGF,CCDC68,SIGLEC15,,TMEM204,,TMC5,SLC52A1
64,LRRC4B,MYCL,KIF18B,MAN1C1,CHRDL1,PSTPIP2,UBE2Q2L,KANK3,ZNF697,NCF2,HLA-DQA2,ERG,TERT,PTK7,C16orf74,ADAMTS5,NRXN1,NOVA2,ENPP2,,SLC14A1,,GRHL2,PLEKHF1
65,ADGRD1,PIP5KL1,PPM1E,BATF,SLCO1A2,GBP5,CYP4X1,REEP1,TMPRSS13,MNDA,CYP2S1,PHLDB2,HTR3A,NLGN4X,ITM2C,ANO1,GRM7,JAG2,FRMD4B,,FXYD5,,ITGB6,C11orf21
66,BMP5,LTK,KIF14,ADTRP,SOD3,IL1RAP,CYP4B1,DCHS2,PLXDC2,GLUL,KCNMB1,GALNT18,CCDC195,SH3RF2,DNAJB9,MXRA8,RIMS2,MALL,PSAP,,ITGB7,,MUC4,CXCR3
67,ADIRF,GRIN1,CXCR5,ABCD2,HMGCLL1,G0S2,SOX8,TLL2,FAM20A,VNN2,CD1C,DLGAP2,GUCA1A,NEIL3,VWC2L,CYP26B1,CNTN5,HSPA12B,NPL,,CRYBG2,,PAX9,MLC1
68,HHIPL1,SLC4A3,CLSPN,CEACAM21,RGS7BP,BCL2A1,SLC5A8,RNF152,ARHGEF10L,FPR1,C10orf105,IL33,PDGFD,ETV1,GLDC,HTRA3,NTRK3,TINAGL1,CPM,,GPA33,,POU2F3,RDM1
69,NCS1,KLHL33,CLDN14,C17orf97,FRZB,NINJ1,TOX3,EPHB4,TMEM51,TMEM71,EPHB3,CNTNAP3B,ANGPTL1,SLC27A2,KCNA2,RASL12,CPNE4,RNASE1,CST3,,POLR3GL,,PLEKHS1,LEXM
70,FAM151A,SLITRK5,DPP4,CLIC5,TMEM47,SLC12A1,REM1,MMP17,ITGAM,LST1,FFAR4,DYNC1I1,RPLP1,TRIM9,PSAT1,CD248,ANKFN1,PCDH1,LGMN,,PRR7,,FAM3D,ELOVL4
71,IFI27L2,RUNX2,HMSD,TNFRSF4,PRELP,SIRPB2,DACT2,ABO,TGFBI,PYGL,CKB,MRC1,DTX1,DCLRE1A,HTR4,TYR,IL26,INMT,MERTK,,FBXL16,,KRT5,STAT4
72,GYG2,IRF8,COL4A6,GPR19,TMEM130,CLEC4A,FBP2,ABCA4,VASH1,ANXA3,UPK3A,RGS16,RPL41,IL10,JSRP1,PCDH18,ADCY1,KIF26A,RGS1,,KCNA3,,SIX1,RUNX3
